phase,model,horizon,seed,train_n,val_n,test_n,node_count,feature_set,MAE,RMSE,MAPE,sMAPE,R2,fit_time_sec,inference_time_sec,config_hash,data_hash
phase13,SeasonalHA,1,2026,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,1.1484393823112802,2.689582231267182,0.015924088246952156,0.01575630560521034,0.9717865010089664,0.0,0.0,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,Persistence,1,2026,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,1.0493704965733723,3.1935336818078524,0.014988657720901665,0.01480631723577324,0.9602231582024854,0.0,0.0,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,XGBoost,1,2026,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,0.9719442484964899,2.274192934170031,0.012800073319621578,0.01268218330732172,0.9798283275312787,7.6810741999997845,0.03525129999979981,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,GRU,1,2026,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,0.9841886541379795,2.382109834878539,0.013430019444956311,0.013140749265789666,0.9778684994676171,56.616327400000046,0.2537646999999197,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,TCN,1,2026,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,1.1523838764786283,2.4317375030474984,0.015435763518398718,0.015153756925741942,0.9769367407191544,784.9222476000004,12.757497600000534,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,ST-Transformer-lite,1,2026,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,1.1148925384695658,2.4751620871113245,0.01523337472627109,0.014885370747016501,0.9761056850154076,78.15793880000001,0.4467304999998305,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,HA,1,3407,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,1.9087225491398945,3.7858135633876104,0.02845731092884101,0.02804113069775331,0.944100780791222,0.0,0.0,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,SeasonalHA,1,3407,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,1.1484393823112802,2.689582231267182,0.015924088246952156,0.01575630560521034,0.9717865010089664,0.0,0.0,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,Persistence,1,3407,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,1.0493704965733723,3.1935336818078524,0.014988657720901665,0.01480631723577324,0.9602231582024854,0.0,0.0,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
phase13,XGBoost,1,3407,66585,12201,12265,51,current_speed|missing_mask|coverage_ratio_24h|volatility_tti_6h|hour_of_day|day_of_week|weekend_flag,0.9674360639943038,2.2658686073388195,0.01278205198800721,0.012659618607301632,0.9799757277605947,7.516275100000712,0.03170440000030794,1e0c21e899d847f32be86f4b23b27b54e6fddf90a19c6b84a34b9fe2058d8353,6f936421885e75b8e4de77d3eae71e9e16de7e0404eade956340f2590a69b3e8
