sample_id,node_id,target_start,horizon,observed_hours,stored_y_true,recomputed_window_mean,absolute_difference,match_tolerance_1e-5
1072064,N011,2026-02-28 09:00:00,3,3,94.0,94.0,0.0,True
1176848,N012,2026-02-18 23:00:00,3,3,94.0,94.0,0.0,True
1177588,N012,2026-02-26 16:00:00,3,3,94.0,94.0,0.0,True
1282864,N013,2026-02-22 09:00:00,3,3,94.0,94.0,0.0,True
1283468,N013,2026-02-28 16:00:00,3,3,94.0,94.0,0.0,True
1494088,N015,2026-02-20 19:00:00,3,3,94.0,94.0,0.0,True
1494324,N015,2026-02-23 06:00:00,3,3,94.0,94.0,0.0,True
1494620,N015,2026-02-26 08:00:00,3,3,94.0,94.0,0.0,True
1600496,N016,2026-02-28 07:00:00,3,3,99.0,99.0,0.0,True
1705484,N017,2026-02-21 00:00:00,3,3,96.44444274902344,96.44444444444444,1.6954210053654606e-06,True
1705572,N017,2026-02-21 22:00:00,3,3,99.0,99.0,0.0,True
1706212,N017,2026-02-28 14:00:00,3,3,99.0,99.0,0.0,True
1706224,N017,2026-02-28 17:00:00,3,3,99.0,99.0,0.0,True
1811076,N018,2026-02-20 00:00:00,3,3,98.0,98.0,0.0,True
1811136,N018,2026-02-20 15:00:00,3,3,98.0,98.0,0.0,True
1811500,N018,2026-02-24 10:00:00,3,3,98.0,98.0,0.0,True
1916672,N019,2026-02-19 01:00:00,3,3,98.0,98.0,0.0,True
1916708,N019,2026-02-19 10:00:00,3,3,98.0,98.0,0.0,True
1916960,N019,2026-02-22 01:00:00,3,3,98.0,98.0,0.0,True
1917392,N019,2026-02-26 13:00:00,3,3,98.0,98.0,0.0,True
1917596,N019,2026-02-28 16:00:00,3,3,98.0,98.0,0.0,True
2128376,N021,2026-02-22 11:00:00,3,3,100.0,100.0,0.0,True
2128820,N021,2026-02-27 02:00:00,3,3,100.0,100.0,0.0,True
2234052,N022,2026-02-22 08:00:00,3,3,98.0,98.0,0.0,True
2234080,N022,2026-02-22 15:00:00,3,3,94.33333587646484,94.33333333333333,2.5431315151536182e-06,True
2445112,N024,2026-02-19 01:00:00,3,3,100.0,100.0,0.0,True
2445256,N024,2026-02-20 13:00:00,3,3,100.0,100.0,0.0,True
2445844,N024,2026-02-26 16:00:00,3,3,100.0,100.0,0.0,True
2445900,N024,2026-02-27 06:00:00,3,3,100.0,100.0,0.0,True
2445988,N024,2026-02-28 04:00:00,3,3,100.0,100.0,0.0,True
2446032,N024,2026-02-28 15:00:00,3,3,100.0,100.0,0.0,True
2762292,N027,2026-02-20 06:00:00,3,3,100.0,100.0,0.0,True
