prediction_file,model,horizon,seed,original_N,boundary_excluded_N,canonical_complete_hour_N,original_MAE,canonical_complete_hour_MAE,MAE_change_after_boundary_exclusion,original_RMSE,canonical_complete_hour_RMSE,original_sMAPE,canonical_complete_hour_sMAPE,original_R2,canonical_complete_hour_R2,original_Bias,canonical_complete_hour_Bias,canonical_sample_boundary_match
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed2024.parquet,ST-Transformer-lite,1,2024,12265,0,12265,1.0536606097775385,1.0536606097775385,0.0,2.445787180952758,2.445787180952758,0.014106810123442053,0.014106810123442053,0.9766694699956731,0.9766694699956731,0.28849343409890116,0.28849343409890116,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed2025.parquet,ST-Transformer-lite,1,2025,12265,0,12265,1.0086975192518268,1.0086975192518268,0.0,2.4265423766830563,2.4265423766830563,0.013891966567226674,0.013891966567226674,0.9770351804961179,0.9770351804961179,-0.02809835979027793,-0.02809835979027793,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed2026.parquet,ST-Transformer-lite,1,2026,12265,0,12265,1.1148925384695658,1.1148925384695658,0.0,2.4751620871113245,2.4751620871113245,0.014885370752882755,0.014885370752882755,0.9761056861188789,0.9761056861188789,0.14938998916321175,0.14938998916321175,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed3407.parquet,ST-Transformer-lite,1,3407,12265,0,12265,1.022140058633312,1.022140058633312,0.0,2.5862653543382703,2.5862653543382703,0.01410942715711782,0.01410942715711782,0.9739124412505769,0.9739124412505769,0.22991757196550022,0.22991757196550022,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h1_seed42.parquet,ST-Transformer-lite,1,42,12265,0,12265,1.1339109752793435,1.1339109752793435,0.0,2.493446266319621,2.493446266319621,0.01537270023449509,0.01537270023449509,0.9757513646150783,0.9757513646150783,-0.018349609965943727,-0.018349609965943727,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed2024.parquet,ST-Transformer-lite,3,2024,11878,0,11878,1.0312760931651868,1.0312760931651868,0.0,1.8740137401174344,1.8740137401174344,0.013791590747791068,0.013791590747791068,0.9860518872166735,0.9860518872166735,0.284075910424038,0.284075910424038,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed2025.parquet,ST-Transformer-lite,3,2025,11878,0,11878,1.0004095508506712,1.0004095508506712,0.0,1.8352107598052922,1.8352107598052922,0.013482585081355159,0.013482585081355159,0.9866235212954141,0.9866235212954141,0.03608937527640015,0.03608937527640015,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed2026.parquet,ST-Transformer-lite,3,2026,11878,0,11878,0.9530041913509288,0.9530041913509288,0.0,1.825860432244613,1.825860432244613,0.012687298338481943,0.012687298338481943,0.9867594793395543,0.9867594793395543,0.2072539523025618,0.2072539523025618,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed3407.parquet,ST-Transformer-lite,3,3407,11878,0,11878,0.9400040219781134,0.9400040219781134,0.0,1.7767922236294487,1.7767922236294487,0.012693407487486577,0.012693407487486577,0.9874615688817883,0.9874615688817883,0.05876159041713516,0.05876159041713516,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h3_seed42.parquet,ST-Transformer-lite,3,42,11878,0,11878,0.9987882171582043,0.9987882171582043,0.0,1.9089679742597874,1.9089679742597874,0.013304354519561317,0.013304354519561317,0.9855267123402073,0.9855267123402073,0.3982382938303436,0.3982382938303436,True
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed2024.parquet,ST-Transformer-lite,6,2024,12166,51,12115,0.8900082970888388,0.8870205232539159,-0.00298777383492288,1.5310866590641574,1.5280321873614795,0.012005564092546293,0.011972908064985664,0.9906886644946062,0.9907312653188449,0.03363139547448046,0.03878593271643575,False
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed2025.parquet,ST-Transformer-lite,6,2025,12166,51,12115,0.8797634142941988,0.8767082768533528,-0.0030551374408459564,1.4890291208327708,1.48692025024243,0.011945546132925347,0.011915386426119655,0.9911931862192056,0.9912233092178079,-0.06489592995393556,-0.060226684771831795,False
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed2026.parquet,ST-Transformer-lite,6,2026,12166,51,12115,0.918715313784919,0.9159404183142549,-0.0027748954706641182,1.6326448907126054,1.6310152395168136,0.012326273332246021,0.012293469509064651,0.9894124396748653,0.989439816050551,0.23945929285689402,0.24501431158540468,False
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed3407.parquet,ST-Transformer-lite,6,3407,12166,51,12115,0.9311357774409968,0.9283063783854234,-0.002829399055573445,1.770834587062946,1.7708051675544179,0.012588768460865747,0.012561928727088851,0.9875442918890307,0.9875520737445208,0.16866802702838998,0.1742752585291026,False
D:\2026_PD\outputs\locked\phase13_full\predictions\ST-Transformer-lite_h6_seed42.parquet,ST-Transformer-lite,6,42,12166,51,12115,0.8868063855049702,0.8837835484283108,-0.0030228370766594015,1.5564880749260253,1.5546936464625443,0.012107755832152081,0.012073263073007925,0.9903771431320305,0.9904049974841534,0.005139189567609816,0.010204377845452434,False
D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed2024.parquet,TCN,1,2024,12265,0,12265,1.2894024442664176,1.2894024442664176,0.0,2.550351453703432,2.550351453703432,0.017392012778627383,0.017392012778627383,0.974631934993262,0.974631934993262,0.4134135577905144,0.4134135577905144,True
D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed2025.parquet,TCN,1,2025,12265,0,12265,1.0763352222652567,1.0763352222652567,0.0,2.4200855051295362,2.4200855051295362,0.014533438336166469,0.014533438336166469,0.9771572336762347,0.9771572336762347,0.10064579963295303,0.10064579963295303,True
D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed2026.parquet,TCN,1,2026,12265,0,12265,1.1523838764786283,1.1523838764786283,0.0,2.4317375030474984,2.4317375030474984,0.015153756937797545,0.015153756937797545,0.9769367417842464,0.9769367417842464,0.04382194413295144,0.04382194413295144,True
D:\2026_PD\outputs\locked\phase13_full\predictions\TCN_h1_seed3407.parquet,TCN,1,3407,12265,0,12265,1.1110538793689029,1.1110538793689029,0.0,2.4104664274849346,2.4104664274849346,0.014589707925105251,0.014589707925105251,0.9773384584064497,0.9773384584064497,0.3233015218268984,0.3233015218268984,True
