model,fold,horizon,calendar_day,spatial_block,n,MAE,RMSE,sMAPE
HA,1,1,2026-01-21,2,186,0.5115014216378598,0.7904682124396658,0.5273136665622573
HA,1,1,2026-01-21,3,188,0.6441098206432153,1.2281081615227905,0.6553647896916254
HA,1,1,2026-01-21,4,184,2.1826297649438833,3.5829955705834715,2.8377659010989937
HA,1,1,2026-01-21,5,102,5.91320440504286,7.218042516187117,11.204288107159936
HA,1,1,2026-01-22,1,177,0.30845137773934056,0.6380335232587606,0.34247388650888594
HA,1,1,2026-01-22,2,186,0.5251730231828587,1.1567553620631437,0.5439204577714819
HA,1,1,2026-01-22,3,173,0.489473728775289,0.5411323404495293,0.4923452351452437
HA,1,1,2026-01-22,4,178,2.464503684740388,3.7977415457281714,3.2601138546687447
HA,1,1,2026-01-22,5,116,5.870083973325532,6.987869577848126,10.687427275009325
HA,1,1,2026-01-23,1,197,0.2753956596258328,0.2882760355857511,0.30318490974147994
HA,1,1,2026-01-23,2,195,0.4496722881610577,0.5660406999215063,0.4605509149590516
HA,1,1,2026-01-23,3,207,0.4934048491399645,0.5465317069091818,0.49637490862432565
HA,1,1,2026-01-23,4,207,2.2230903514917344,3.5137409484465723,2.9151467400273514
HA,1,1,2026-01-23,5,126,5.6140743033595815,6.826986874982883,10.510746351972612
HA,1,1,2026-01-24,1,205,1.0152358512568278,2.789951774448178,1.1618340279948807
HA,1,1,2026-01-24,2,208,1.362828376965645,3.6275516474995086,1.4833420228224237
HA,1,1,2026-01-24,3,191,1.6031032116209232,4.177577192959988,1.718089626907723
HA,1,1,2026-01-24,4,200,4.058286933898926,6.231021588227072,5.285416786077068
HA,1,1,2026-01-24,5,134,7.8537384431753585,8.81493501415376,14.933444464503456
HA,1,1,2026-01-25,1,180,0.26860525343153213,0.2834599888592864,0.2956868049206405
HA,1,1,2026-01-25,2,152,1.8786002209312038,4.258742734676118,2.012072053798366
HA,1,1,2026-01-25,3,179,2.2806982114994327,4.71338658559665,2.4190190782767584
HA,1,1,2026-01-25,4,165,3.057613072250829,4.891952849489555,4.17246064872698
HA,1,1,2026-01-25,5,101,7.117038046959603,8.057739165792123,12.63519879367533
HA,1,3,2026-01-19,1,66,0.4543258204604638,1.0505963018794873,0.5091288201749926
HA,1,3,2026-01-19,2,85,0.6261377072801777,1.1166549010359645,0.6415510091108739
HA,1,3,2026-01-19,3,68,0.49909898346545656,0.6839945221021418,0.5024179920147392
HA,1,3,2026-01-19,4,89,2.1883316992522777,3.276939511878737,2.8597686776951035
HA,1,3,2026-01-19,5,62,6.60888179655998,7.7466635391764,12.393223241762318
HA,1,3,2026-01-20,1,68,0.26185058144962087,0.2759741584216893,0.28870799901199784
HA,1,3,2026-01-20,2,73,0.586000695076163,1.0532269730516823,0.6032909210470679
HA,1,3,2026-01-20,3,88,0.5458147742531515,0.6837330803784434,0.5502066260584647
HA,1,3,2026-01-20,4,77,2.033314824620367,3.114026978253985,2.6514957564458044
HA,1,3,2026-01-20,5,60,5.3247601403130425,6.507791959621087,10.539620499040167
HA,1,3,2026-01-21,1,111,0.3238015160546292,0.41566315638001383,0.3562993349392031
HA,1,3,2026-01-21,2,91,0.4676536029075094,0.5927650162115613,0.4826624405634935
HA,1,3,2026-01-21,3,93,0.5271686111869489,0.6591763606715159,0.5313887091289726
HA,1,3,2026-01-21,4,91,2.360457069853432,3.696897222397372,3.110008737302598
HA,1,3,2026-01-21,5,37,5.679225772708745,6.594281697937215,10.469336103152495
HA,1,3,2026-01-22,1,71,0.34625770676303935,0.5425503628301269,0.38412672055012237
HA,1,3,2026-01-22,2,86,0.3953590097353441,0.5787839937841117,0.4060193532218788
HA,1,3,2026-01-22,3,68,0.426630693323472,0.47387026845135155,0.4287848316258972
HA,1,3,2026-01-22,4,81,2.9374337215973028,4.156505313433507,3.9575940014985855
HA,1,3,2026-01-22,5,58,5.229771142718436,6.103215298611511,8.918139310397507
HA,1,3,2026-01-23,1,104,0.2752962846022386,0.28570989493636284,0.3033879302672688
HA,1,3,2026-01-23,2,101,0.4581928819713026,0.5782457379362307,0.4685347910361379
HA,1,3,2026-01-23,3,123,0.45477481004668446,0.5114825123552881,0.4573999341312598
HA,1,3,2026-01-23,4,129,2.0509453049823194,3.166570546841235,2.6789573787094603
HA,1,3,2026-01-23,5,70,5.206311531672402,6.309587176661504,9.712238669789265
HA,1,3,2026-01-24,1,129,0.8427570090018704,1.9062139319035267,0.9410786336935598
HA,1,3,2026-01-24,2,130,0.9999989240597459,2.14454135267167,1.0496324397084724
HA,1,3,2026-01-24,3,102,1.3798460534455212,2.728561248544201,1.4365621467200342
HA,1,3,2026-01-24,4,117,3.6221759140434884,5.376857910735363,4.653168566481804
HA,1,3,2026-01-24,5,84,7.16381085108197,8.13497652275541,13.956552198247017
HA,1,3,2026-01-25,1,77,0.2628207516360593,0.27388350495841624,0.2894123856100962
HA,1,3,2026-01-25,2,52,1.997176243708684,3.132935589697585,2.088228790974441
HA,1,3,2026-01-25,3,78,2.2027137625930653,3.3041641915924913,2.2757286516427477
HA,1,3,2026-01-25,4,66,2.651687583538017,4.243156240792375,3.686610655844877
HA,1,3,2026-01-25,5,34,6.697027169021905,7.522891630544968,12.839985136286058
HA,1,6,2026-01-19,1,80,0.3879319233364525,0.6796441756129092,0.4305109989798953
HA,1,6,2026-01-19,2,94,0.5866893037836601,0.8414076778904845,0.5997400930898954
HA,1,6,2026-01-19,3,71,0.49118936744654135,0.5965390558927529,0.49398452085966416
HA,1,6,2026-01-19,4,107,1.9335279850944926,2.8050929044099804,2.5629936362510666
HA,1,6,2026-01-19,5,74,5.936456560014605,6.800635691038907,10.983573496962398
HA,1,6,2026-01-20,1,90,0.27659759521484373,0.287156100448677,0.30496598553575066
HA,1,6,2026-01-20,2,94,0.4411032656405836,0.6292100453901842,0.45191381498315353
HA,1,6,2026-01-20,3,106,0.4741326578008306,0.5429917203919925,0.477062526715348
HA,1,6,2026-01-20,4,92,1.9351083174995756,2.942361332613164,2.524812152440725
HA,1,6,2026-01-20,5,68,4.497651332032447,5.270602269192141,8.651713731443529
HA,1,6,2026-01-21,1,142,0.27401816139758495,0.3108710473038744,0.30039867897858313
HA,1,6,2026-01-21,2,113,0.3475272794740388,0.42314766198329423,0.35851882352329845
HA,1,6,2026-01-21,3,109,0.534200251868011,0.652034976346934,0.5392598439394037
HA,1,6,2026-01-21,4,107,1.6761777360862662,2.610896350968891,2.1414465078291802
HA,1,6,2026-01-21,5,35,4.965354505266461,5.781997978644399,8.972087850004442
HA,1,6,2026-01-22,1,99,0.32037981848925423,0.3712096399056337,0.3541756357510192
HA,1,6,2026-01-22,2,126,0.383007037450397,0.49255502943372464,0.39332306359784136
