model,fold,horizon,forecast_origin,n,MAE,RMSE,sMAPE
XGBoost,2,6,2026-01-26 19:00:00,21,0.7562473640240057,1.0278604544365755,0.8617810620278264
XGBoost,2,6,2026-01-26 20:00:00,23,0.6528179445128514,0.977032490264102,0.7189487368773214
XGBoost,2,6,2026-01-26 21:00:00,23,0.33497749365470314,0.49723897734525835,0.3537027267593928
XGBoost,2,6,2026-01-26 22:00:00,28,0.37873499128553656,0.6320069682449211,0.45345773931627964
XGBoost,2,6,2026-01-26 23:00:00,28,0.4707091921851753,0.6561760422013224,0.5549584663339953
XGBoost,2,6,2026-01-27 00:00:00,30,0.42601777818467873,0.5797364564432357,0.5647883397637685
XGBoost,2,6,2026-01-27 01:00:00,26,0.8421118255354405,1.1853192159579808,1.1113242463602804
XGBoost,2,6,2026-01-27 02:00:00,22,0.8442273226651285,1.146894532950037,1.2187599972840883
XGBoost,2,6,2026-01-27 03:00:00,21,0.6990856190837882,0.8993010254945978,0.9206785110559875
XGBoost,2,6,2026-01-27 04:00:00,18,1.1286699648256646,1.5711601611991157,1.5550114394392915
XGBoost,2,6,2026-01-27 05:00:00,16,1.1065103530883784,1.3723760670658942,1.68497854414362
XGBoost,2,6,2026-01-27 06:00:00,17,1.2823978349274272,1.7488611799422211,1.7050941489221936
XGBoost,2,6,2026-01-27 07:00:00,19,1.1393874988221275,1.3513970522369654,1.7185361983521463
XGBoost,2,6,2026-01-27 08:00:00,20,0.8052610905965173,0.947749357915104,1.1412545794796862
XGBoost,2,6,2026-01-27 09:00:00,18,0.7999935150146484,0.9524163210028438,1.1024564136870216
XGBoost,2,6,2026-01-27 10:00:00,21,0.7868024311368429,0.8621071274084865,1.0459863340504534
XGBoost,2,6,2026-01-27 11:00:00,18,0.50510804447127,0.606712847962711,0.6007212170303569
XGBoost,2,6,2026-01-27 12:00:00,19,0.43924518161349846,0.5739290209069964,0.49426263104673807
XGBoost,2,6,2026-01-27 13:00:00,22,0.5049595880990077,0.7568546265166722,0.6178040041659325
