model,fold,horizon,n,MAE,MSE,sMAPE,mean_prediction,mean_truth,RMSE,bias
HA,3,1,7164,1.71140737141308,12.001608877382225,2.712019836305674,88.85142201594572,89.02206635026987,3.4643338288020433,-0.17064433432415171
HA,3,3,5027,1.6097208755817274,9.979988957941153,2.5649270107279443,88.826578740882,88.97483036049776,3.1591120521344527,-0.14825161961576327
HA,3,6,6233,1.4073183137860457,7.618567074283369,2.243720305001688,88.90452494836248,89.0177678842006,2.7601751890565516,-0.11324293583811595
HA,4,1,6357,1.9922900781715982,18.0062890698148,3.148819345714208,88.78485229117739,88.59312568821771,4.243381796375952,0.19172660295967603
HA,4,3,4171,1.911465761013006,13.710217388181203,2.9997945367644934,88.5864361498002,88.38855590186206,3.7027310715445165,0.1978802479381443
HA,4,6,4770,1.6925207427118363,10.065181252729204,2.704703371864752,88.39884842366793,88.15620545073375,3.1725669815985293,0.2426429729341777
HA,5,1,5526,1.8156316209319765,14.043970635095643,2.7671270362116034,89.02268820882405,89.02678248280854,3.747528603639423,-0.004094273984492247
HA,5,3,3286,1.6235549320771212,9.923807500321661,2.520734878699891,89.34448946501813,89.29975654290931,3.1502075328971046,0.04473292210882107
HA,5,6,3689,1.4534317304533593,7.811414443758238,2.25990560313576,89.18231071809277,89.18385666094395,2.7948907749245295,-0.0015459428511803708
HA,6,1,6636,1.7010551875725506,12.36008401262869,2.549893810284723,88.97294590945988,89.16141752059472,3.5156911145077423,-0.1884716111348439
HA,6,3,5566,1.5741618467851728,9.280944992767429,2.353523955707624,89.1134641745345,89.23540743402403,3.046464342933859,-0.12194325948952667
HA,6,6,6114,1.385073951577272,7.072237740765533,2.072117692896098,89.03856530718294,89.17997537527714,2.6593679212860963,-0.14141006809420276
Persistence,1,1,5978,1.090331366718279,10.714873618348257,1.6244397098504515,88.90614190650425,88.89538028326085,3.2733581561369443,0.010761623243396912
Persistence,1,3,2919,1.2951925650641583,10.896892240957314,1.9366710106071987,89.07839437220284,88.90339157245631,3.3010441137551183,0.17500279974652244
Persistence,1,6,3511,1.5223529043396147,13.548548357702543,2.2920682503415297,89.3075096712054,89.02248726225514,3.680835279892669,0.28502240895025466
Persistence,2,1,6540,0.8154944643752298,6.784165817669347,1.308315710490002,89.0463557997781,89.05603975535168,2.6046431267391212,-0.009683955573578373
Persistence,2,3,3836,1.0697631192323624,9.128929091262359,1.7330597231152636,89.18376351627302,89.08439781021897,3.021411771219269,0.09936570605404427
Persistence,2,6,4824,1.3911599794800007,12.751728041578666,2.2249715356810715,89.05982246629341,88.95148677906764,3.570956180293825,0.10833568722577525
Persistence,3,1,7164,0.749837344684224,5.97226688576465,1.2256056208598851,89.02306683783546,89.02206635026987,2.4438221878370467,0.0010004875655909018
Persistence,3,3,5027,1.0053269670363953,8.11555372807504,1.6470570572559868,89.01152123817484,88.97483036049776,2.848781095148422,0.03669087767707424
Persistence,3,6,6233,1.2433968687105927,11.313382021528092,2.043217011142391,89.11798771759251,89.0177678842006,3.3635371295004446,0.1002198333919182
Persistence,4,1,6357,1.1417336561177576,14.923406828571576,1.7555980321663047,88.60681134188627,88.59312568821771,3.863082555236372,0.013685653668559894
Persistence,4,3,4171,1.3617372529375558,13.371305054514977,2.1412883258170714,88.58744900190915,88.38855590186206,3.656679512141442,0.19889310004708705
Persistence,4,6,4770,1.7891988110777302,18.46351725489531,2.8509379689083323,88.52035285463975,88.15620545073375,4.296919507611856,0.36414740390600286
Persistence,5,1,5526,1.0024281358519407,9.502289155641598,1.4739287017180194,89.0396610658004,89.02678248280854,3.0825783291980753,0.012878582991859844
Persistence,5,3,3286,1.1137572240703533,9.500764539660807,1.6809434789928546,89.39774810871688,89.29975654290931,3.082331023699565,0.0979915658075754
Persistence,5,6,3689,1.405955594089027,12.981587450286023,2.1809742287929623,89.41955822764851,89.18385666094395,3.6029970094750317,0.235701566704563
Persistence,6,1,6636,0.9026272076543116,7.709599482406745,1.312130376493268,89.15973484626006,89.16141752059472,2.7766165530023668,-0.0016826743346598505
Persistence,6,3,5566,1.1753005489560495,8.67573895156997,1.7218678240614083,89.26557079454825,89.23540743402403,2.945460736721841,0.0301633605242273
Persistence,6,6,6114,1.466351922062272,12.024873919975814,2.1843620506153174,89.25133580160065,89.17997537527714,3.4676899976750826,0.07136042632350836
Ridge,1,1,5978,1.3574996221633184,6.834307584385861,1.8354615424938239,88.77091412434174,88.89538028326085,2.61425086485323,-0.1244661589191054
Ridge,1,3,2919,1.1610862441812733,4.267288040231656,1.5833668548650675,89.02458789716971,88.90339157245631,2.0657415230932585,0.12119632471339514
Ridge,1,6,3511,1.0465297594308558,2.8103427151740537,1.4045786975058474,89.13044229310246,89.02248726225514,1.6764076816735403,0.10795503084732161
Ridge,2,1,6540,1.019317214180327,3.987540690262326,1.4470877496336156,88.99880423181283,89.05603975535168,1.9968827432431595,-0.057235523538849975
Ridge,2,3,3836,0.9560762960517716,2.981990140833522,1.3783160114518431,89.12496363209236,89.08439781021897,1.726843982771322,0.0405658218733862
Ridge,2,6,4824,0.8964749041898751,2.3344829936394644,1.2607534694585902,88.97678584641288,88.95148677906764,1.5279014999794536,0.025299067345244453
Ridge,3,1,7164,0.9117673435136634,3.3029664685385782,1.3069240702845277,88.89872539516004,89.02206635026987,1.8174065226411449,-0.12334095510982479
Ridge,3,3,5027,0.8528341232585466,2.100865253206759,1.2194254427656128,88.85323489454552,88.97483036049776,1.4494361845927397,-0.12159546595223958
Ridge,3,6,6233,0.7597159093698401,1.4458298151452211,1.0797136250210624,88.86120137765934,89.0177678842006,1.2024266360760731,-0.15656650654125315
Ridge,4,1,6357,1.276490821816376,8.977083893235017,1.7971739772871922,88.70676831912559,88.59312568821771,2.9961782145318088,0.11364263090787574
Ridge,4,3,4171,1.2451574203160745,5.517655739633777,1.747302928694138,88.64477903429652,88.38855590186206,2.348969080178319,0.2562231324344566
Ridge,4,6,4770,1.2292734870759583,4.388667845996855,1.7501729912614556,88.4302725066179,88.15620545073375,2.094914758646961,0.2740670558841458
Ridge,5,1,5526,1.656387887568824,8.946520196052667,2.1308966366008133,88.4709013353169,89.02678248280854,2.9910734186998265,-0.5558811474916467
Ridge,5,3,3286,1.4540703121398648,6.631889457252904,1.8831666729041139,88.81310614796578,89.29975654290931,2.575245513975882,-0.48665039494352413
Ridge,5,6,3689,1.5521867317247275,7.389440195064657,1.9903579778056066,88.46213001428048,89.18385666094395,2.718352478076502,-0.7217266466634698
Ridge,6,1,6636,1.1293589450375536,5.344196123504073,1.512789089512228,89.06358224157111,89.16141752059472,2.3117517434845967,-0.097835279023613
Ridge,6,3,5566,1.1197187536637663,3.8308696391571497,1.4935684941072005,89.1473657688219,89.23540743402403,1.9572607488929905,-0.08804166520212675
Ridge,6,6,6114,1.0328891998037006,2.9021602666768858,1.3731557272887664,89.10678776549794,89.17997537527714,1.7035727946515482,-0.0731876097791968
SeasonalHA,1,1,5978,1.0705610122969946,6.667453654194532,1.473683972762185,88.92932513662308,88.89538028326085,2.5821412924537133,0.033944853362228855
SeasonalHA,1,3,2919,0.9210616667130628,3.595593893479941,1.2525825230801162,89.0020642380226,88.90339157245631,1.8962051295890805,0.09867266556628351
SeasonalHA,1,6,3511,0.8083011914636558,2.1565891119653684,1.0693605360920078,89.09070066616631,89.02248726225514,1.4685329795293562,0.06821340391117303
SeasonalHA,2,1,6540,0.9028470316429021,4.52504342499221,1.31280956208641,88.9795366357226,89.05603975535168,2.127214945648937,-0.07650311962908063
SeasonalHA,2,3,3836,0.8134336383714833,2.9932209905781906,1.1814347140450772,89.05904664436396,89.08439781021897,1.7300927693560801,-0.025351165855013846
SeasonalHA,2,6,4824,0.745149275495221,2.2537392593143943,1.0667692076495403,88.93364103318842,88.95148677906764,1.501245902347245,-0.017845745879213837
SeasonalHA,3,1,7164,0.7827222348590726,3.388759668072312,1.1200351301663032,88.85457934167117,89.02206635026987,1.8408584052208665,-0.16748700859869814
SeasonalHA,3,3,5027,0.7108450454244131,1.9750236802301124,0.9891319985992092,88.82106413195284,88.97483036049776,1.4053553572780488,-0.1537662285449244
SeasonalHA,3,6,6233,0.6133166742415782,1.1908054083275852,0.8483614698329921,88.89272192280728,89.0177678842006,1.091240307323545,-0.1250459613933117
SeasonalHA,4,1,6357,1.0689563467183678,9.217914648581297,1.614184272323576,88.87237937288762,88.59312568821771,3.0361018837616927,0.27925368466991074
SeasonalHA,4,3,4171,0.9652978276249927,5.022216721564953,1.4449813581020126,88.72357314372057,88.38855590186206,2.241030281269076,0.3350172418585089
SeasonalHA,4,6,4770,0.9063768554516892,3.4110244198577955,1.372556616499707,88.48890337114314,88.15620545073375,1.8468958876606434,0.3326979204093874
SeasonalHA,5,1,5526,0.9087169660793052,5.261440656437341,1.2668532685330929,89.01954097761609,89.02678248280854,2.2937830447619367,-0.007241505192453701
SeasonalHA,5,3,3286,0.7621800656201607,2.369460928682197,1.0492338587835954,89.2282297827453,89.29975654290931,1.539305339652337,-0.07152676016400505
SeasonalHA,5,6,3689,0.7266031533715768,1.728828770758426,1.0034146615588024,89.08920454726888,89.18385666094395,1.314849333862411,-0.09465211367506754
SeasonalHA,6,1,6636,1.0322922348664758,6.319177154180135,1.4874895422662164,88.94203324085119,89.16141752059472,2.5137973574216628,-0.21938427974353658
SeasonalHA,6,3,5566,0.9443254271690898,3.787858632219208,1.3366468144508161,89.03788821542173,89.23540743402403,1.9462421823142175,-0.19751921860229515
SeasonalHA,6,6,6114,0.8427919840442657,2.4957420518256894,1.1751097633829002,88.99124271790889,89.17997537527714,1.5797917748316357,-0.18873265736824862
XGBoost,1,1,5978,1.1288143947245812,5.794280122946776,1.5067770782858672,88.73389865611061,88.89538028326085,2.4071310979975262,-0.16148162715023773
XGBoost,1,3,2919,0.9477727004574882,3.301242103611286,1.2816771183234505,88.9408565742098,88.90339157245631,1.8169320580614141,0.03746500175348899
XGBoost,1,6,3511,0.8605711665134842,2.257493540272722,1.1358508025842255,89.03442190031397,89.02248726225514,1.5024957704674984,0.011934638058832547
